
> ts-node -r tsconfig-paths/register src/core/evaluation/evaluation-harness.ts "--csv"

scenario,students,tutors,loadFactorWeight,topK,averageScore,unassignedPercent,jainFairnessIndex,elapsedMinMs,elapsedMeanMs,elapsedMaxMs,pairsScored,peakHeapEntries
realistic-seed,50,50,0.05,inf,0.819750,0.00,1.000000,4,11.6,33,210,210
realistic-seed,50,50,0,inf,0.810263,0.00,1.000000,2,2.6,5,210,210
moderate-1.5to1,150,100,0.05,inf,0.812278,0.00,0.878906,13,27.6,36,1252,1252
moderate-1.5to1,150,100,0,inf,0.810154,0.00,0.852273,14,33.0,77,1252,1252
moderate-2to1,150,75,0.05,inf,0.799991,0.67,0.933796,6,7.4,12,939,939
moderate-2to1,150,75,0,inf,0.801194,0.67,0.922160,5,7.8,11,939,939
moderate-3to1,150,50,0.05,inf,0.777133,11.33,0.938408,4,4.8,5,626,626
moderate-3to1,150,50,0,inf,0.782149,11.33,0.938408,3,4.2,5,626,626
moderate-4to1,200,50,0.05,inf,0.782293,25.50,0.930860,6,8.0,12,834,834
moderate-4to1,200,50,0,inf,0.789880,25.50,0.930860,5,7.6,11,834,834
stress-sweep,50,5,0.05,inf,0.650239,78.00,0.780645,0,0.8,1,22,22
stress-sweep,50,5,0,inf,0.647464,78.00,0.780645,1,1.4,2,22,22
stress-sweep,200,20,0.05,inf,0.795443,75.00,0.833333,2,3.6,5,336,336
stress-sweep,200,20,0,inf,0.801874,75.00,0.833333,3,3.4,4,336,336
stress-sweep,1000,100,0.05,inf,0.803875,75.00,0.833333,59,78.8,121,8336,8336
stress-sweep,1000,100,0,inf,0.810749,75.00,0.833333,53,56.4,60,8336,8336
stress-sweep,5000,500,0.05,inf,0.804864,75.00,0.833333,2044,2351.2,2768,208336,208336
stress-sweep,5000,500,0,inf,0.811790,75.00,0.833333,1853,1989.6,2227,208336,208336
